Pu238In Pu239In Pu241In Pu242In Am241In Pu240In cPu238In cPu239In cPu240In cPu241In cPu242In cAm241In cPu238Out cPu239Out cPu240Out cPu241Out cPu242Out cAm241Out MAIn MAOut AmIn AmOut NpIn NpOut CmIn CmOut PuIn PuOut FissileIn FissileOut Pu238Out Pu239Out Pu240Out Pu241Out Pu242Out Am241Out tds_1__n__iter__
4.385554450e-01 4.581391202e+01 1.568685358e+01 6.748744052e+00 2.247273882e+00 2.906466102e+01 3.570000000e-04 3.786000000e-02 2.401000000e-02 1.177000000e-02 5.577000000e-03 3.039000000e-03 1.996000000e-03 1.920000000e-02 1.861000000e-02 1.061000000e-02 7.993000000e-03 1.642000000e-03 3.000000000e-01 5.200000000e-01 3.000000000e-01 3.500000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.500000000e-01 8.261300000e-02 6.005100000e-02 6.007529081e-01 4.964113837e-01 3.323841401e-02 3.197282310e-01 3.099032489e-01 1.766831527e-01 1.331035287e-01 2.734342476e-02 23 
3.828679535e+00 5.652290845e+01 2.475311286e+00 5.764990504e+00 1.184040643e+00 3.022406958e+01 3.116000000e-03 4.673000000e-02 2.499000000e-02 1.859000000e-03 4.767000000e-03 1.163000000e-03 2.804000000e-03 2.147000000e-02 2.139000000e-02 9.313000000e-03 5.649000000e-03 9.010000000e-04 1.200000000e-01 3.800000000e-01 1.200000000e-01 2.400000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.100000000e-01 8.262500000e-02 6.152700000e-02 5.880665658e-01 5.003169340e-01 4.557348806e-02 3.489524924e-01 3.476522502e-01 1.513644416e-01 9.181335024e-02 1.464397744e-02 24 
4.197687297e+00 4.088637173e+01 1.996236115e+01 6.152121824e+00 1.514833767e+00 2.728662423e+01 3.417000000e-03 3.381000000e-02 2.256000000e-02 1.499000000e-02 5.087000000e-03 2.761000000e-03 3.989000000e-03 1.843000000e-02 1.663000000e-02 1.090000000e-02 8.130000000e-03 1.670000000e-03 2.800000000e-01 5.200000000e-01 2.800000000e-01 3.500000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.400000000e-01 8.262500000e-02 5.974900000e-02 5.906202723e-01 4.908868768e-01 6.676262364e-02 3.084570453e-01 2.783310181e-01 1.824298315e-01 1.360692229e-01 2.795025858e-02 26 
1.856275107e+00 5.921154029e+01 3.486711076e+00 6.628593163e+00 3.144851899e+00 2.567202846e+01 1.510000000e-03 4.894000000e-02 2.122000000e-02 2.618000000e-03 5.479000000e-03 2.855000000e-03 2.427000000e-03 2.249000000e-02 1.954000000e-02 8.899000000e-03 6.228000000e-03 1.268000000e-03 2.900000000e-01 4.500000000e-01 2.900000000e-01 2.900000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.300000000e-01 8.262200000e-02 6.085200000e-02 6.240226574e-01 5.158252810e-01 3.988365214e-02 3.695852232e-01 3.211069480e-01 1.462400578e-01 1.023466772e-01 2.083744166e-02 27 
9.857373451e-01 5.717993052e+01 9.788622588e+00 7.507911822e+00 3.187300382e+00 2.135049734e+01 8.020000000e-04 4.726000000e-02 1.764000000e-02 7.348000000e-03 6.205000000e-03 3.367000000e-03 2.252000000e-03 2.245000000e-02 1.738000000e-02 9.060000000e-03 7.351000000e-03 1.533000000e-03 3.400000000e-01 5.000000000e-01 3.400000000e-01 3.400000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.400000000e-01 8.262200000e-02 6.002600000e-02 6.609377648e-01 5.249391930e-01 3.751707593e-02 3.740045980e-01 2.895411988e-01 1.509345950e-01 1.224635991e-01 2.553893313e-02 28 
9.563481810e-01 5.897142627e+01 1.744333748e+01 1.291785349e+00 1.936587934e+00 1.940051479e+01 7.780000000e-04 4.874000000e-02 1.603000000e-02 1.309000000e-02 1.068000000e-03 2.917000000e-03 2.204000000e-03 2.473000000e-02 1.633000000e-02 1.033000000e-02 4.205000000e-03 1.764000000e-03 2.900000000e-01 4.000000000e-01 2.900000000e-01 2.900000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 9.000000000e-02 8.262300000e-02 5.956300000e-02 7.483388403e-01 5.886204523e-01 3.700283733e-02 4.151906385e-01 2.741634908e-01 1.734298138e-01 7.059751859e-02 2.961570102e-02 29 
8.049446871e-01 4.165521447e+01 2.374705660e+01 7.408732471e+00 4.350590281e-01 2.594899274e+01 6.550000000e-04 3.442000000e-02 2.144000000e-02 1.782000000e-02 6.123000000e-03 2.157000000e-03 2.012000000e-03 1.863000000e-02 1.591000000e-02 1.143000000e-02 9.284000000e-03 1.684000000e-03 2.200000000e-01 5.300000000e-01 2.200000000e-01 3.700000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.500000000e-01 8.261500000e-02 5.895000000e-02 6.323306906e-01 5.099236641e-01 3.413061917e-02 3.160305344e-01 2.698897371e-01 1.938931298e-01 1.574893978e-01 2.856658185e-02 30 
4.242214787e+00 5.585811819e+01 8.468526451e+00 4.903466743e+00 2.432114251e+00 2.409555957e+01 3.453000000e-03 4.619000000e-02 1.992000000e-02 6.360000000e-03 4.055000000e-03 2.646000000e-03 3.725000000e-03 2.224000000e-02 1.845000000e-02 9.287000000e-03 5.614000000e-03 1.345000000e-03 2.700000000e-01 4.300000000e-01 2.600000000e-01 2.900000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.200000000e-01 8.262400000e-02 6.066100000e-02 6.360137490e-01 5.197243699e-01 6.140683470e-02 3.666276520e-01 3.041492887e-01 1.530967178e-01 9.254710605e-02 2.217240072e-02 32 
3.402908223e+00 4.379963070e+01 1.375424473e+01 3.835092503e+00 1.480388178e+00 3.372773567e+01 2.769000000e-03 3.621000000e-02 2.788000000e-02 1.033000000e-02 3.171000000e-03 2.262000000e-03 3.247000000e-03 1.875000000e-02 2.057000000e-02 1.093000000e-02 6.048000000e-03 1.440000000e-03 2.300000000e-01 4.500000000e-01 2.300000000e-01 3.000000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.200000000e-01 8.262200000e-02 6.098500000e-02 5.632882283e-01 4.866770517e-01 5.324260064e-02 3.074526523e-01 3.372960564e-01 1.792243994e-01 9.917192752e-02 2.361236370e-02 33 
3.065621367e+00 5.434436503e+01 2.242473449e+01 1.118078976e+00 2.273770102e+00 1.677343003e+01 2.495000000e-03 4.493000000e-02 1.386000000e-02 1.684000000e-02 9.240000000e-04 3.573000000e-03 3.722000000e-03 2.379000000e-02 1.435000000e-02 1.072000000e-02 4.603000000e-03 2.050000000e-03 3.600000000e-01 4.500000000e-01 3.600000000e-01 3.300000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.000000000e-01 8.262200000e-02 5.923500000e-02 7.476216988e-01 5.825947497e-01 6.283447286e-02 4.016206635e-01 2.422554233e-01 1.809740863e-01 7.770743648e-02 3.460791762e-02 34 
4.192493693e+00 5.887517811e+01 9.018739789e+00 9.180445178e+00 3.193864444e+00 1.553927878e+01 3.413000000e-03 4.868000000e-02 1.285000000e-02 6.773000000e-03 7.592000000e-03 3.316000000e-03 3.931000000e-03 2.302000000e-02 1.520000000e-02 8.138000000e-03 8.088000000e-03 1.427000000e-03 3.300000000e-01 5.100000000e-01 3.300000000e-01 3.400000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.500000000e-01 8.262400000e-02 5.980400000e-02 6.711488187e-01 5.210019397e-01 6.573138920e-02 3.849240853e-01 2.541636011e-01 1.360778543e-01 1.352417898e-01 2.386128018e-02 37 
4.948772214e+00 4.894280744e+01 1.274477004e+01 3.038129002e+00 2.754741920e+00 2.757077938e+01 4.029000000e-03 4.047000000e-02 2.280000000e-02 9.573000000e-03 2.513000000e-03 3.237000000e-03 4.427000000e-03 2.060000000e-02 1.867000000e-02 1.021000000e-02 5.225000000e-03 1.610000000e-03 3.200000000e-01 4.500000000e-01 3.200000000e-01 3.000000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.200000000e-01 8.262200000e-02 6.074200000e-02 6.056861369e-01 5.072272892e-01 7.288202562e-02 3.391393105e-01 3.073655790e-01 1.680879787e-01 8.601955813e-02 2.650554806e-02 38 
2.679511021e+00 5.105651643e+01 7.990972597e+00 5.187657420e+00 1.806589338e+00 3.127875319e+01 2.180000000e-03 4.221000000e-02 2.585000000e-02 6.000000000e-03 4.289000000e-03 2.094000000e-03 2.669000000e-03 2.029000000e-02 2.090000000e-02 1.000000000e-02 6.036000000e-03 1.242000000e-03 2.100000000e-01 4.300000000e-01 2.100000000e-01 2.800000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.200000000e-01 8.262300000e-02 6.113700000e-02 5.834937003e-01 4.954446571e-01 4.365605116e-02 3.318775864e-01 3.418551777e-01 1.635670707e-01 9.872908386e-02 2.031503018e-02 39 
4.029904610e+00 5.191302439e+01 1.746590179e+01 7.020251609e+00 3.393217633e+00 1.617769997e+01 3.280000000e-03 4.293000000e-02 1.337000000e-02 1.312000000e-02 5.805000000e-03 4.120000000e-03 4.328000000e-03 2.184000000e-02 1.426000000e-02 9.328000000e-03 7.807000000e-03 1.884000000e-03 4.100000000e-01 5.400000000e-01 4.100000000e-01 3.700000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.500000000e-01 8.262500000e-02 5.944700000e-02 6.783661120e-01 5.242989554e-01 7.280434673e-02 3.673860750e-01 2.398775380e-01 1.569128804e-01 1.313270644e-01 3.169209548e-02 40 
3.968180908e+00 5.325641353e+01 1.284614150e+01 8.848860447e+00 2.940274184e-01 2.078637620e+01 3.230000000e-03 4.403000000e-02 1.718000000e-02 9.647000000e-03 7.316000000e-03 1.216000000e-03 3.091000000e-03 2.132000000e-02 1.645000000e-02 9.309000000e-03 8.444000000e-03 1.111000000e-03 1.200000000e-01 4.700000000e-01 1.200000000e-01 3.000000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.400000000e-01 8.261900000e-02 5.972500000e-02 6.496931699e-01 5.128338217e-01 5.175387191e-02 3.569694433e-01 2.754290498e-01 1.558643784e-01 1.413813311e-01 1.860192549e-02 42 
1.925939559e+00 5.357386478e+01 7.381627204e+00 1.018879473e+00 2.179248659e+00 3.392044033e+01 1.567000000e-03 4.428000000e-02 2.803000000e-02 5.542000000e-03 8.420000000e-04 2.355000000e-03 2.371000000e-03 2.136000000e-02 2.278000000e-02 1.041000000e-02 3.692000000e-03 1.326000000e-03 2.400000000e-01 3.300000000e-01 2.400000000e-01 2.300000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 8.000000000e-02 8.261600000e-02 6.193900000e-02 6.030550983e-01 5.129240059e-01 3.827959767e-02 3.448554223e-01 3.677812041e-01 1.680685836e-01 5.960703273e-02 2.140815964e-02 43 
1.450551462e+00 5.573379290e+01 9.756757880e+00 1.155145779e+00 3.434415262e+00 2.846933671e+01 1.180000000e-03 4.607000000e-02 2.353000000e-02 7.325000000e-03 9.550000000e-04 3.569000000e-03 2.609000000e-03 2.254000000e-02 2.040000000e-02 1.014000000e-02 3.859000000e-03 1.663000000e-03 3.600000000e-01 3.900000000e-01 3.600000000e-01 2.700000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 9.000000000e-02 8.262900000e-02 6.121100000e-02 6.462016967e-01 5.338909673e-01 4.262305795e-02 3.682344677e-01 3.332734312e-01 1.656564996e-01 6.304422408e-02 2.716831942e-02 44 
1.708793753e+00 5.454404130e+01 2.817866208e+00 3.298803047e+00 1.556463716e+00 3.607403198e+01 1.390000000e-03 4.508000000e-02 2.981000000e-02 2.115000000e-03 2.727000000e-03 1.496000000e-03 1.833000000e-03 2.086000000e-02 2.408000000e-02 1.001000000e-02 4.455000000e-03 1.016000000e-03 1.500000000e-01 3.500000000e-01 1.500000000e-01 2.300000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.000000000e-01 8.261800000e-02 6.225400000e-02 5.712435547e-01 4.958717512e-01 2.944389116e-02 3.350788704e-01 3.868024545e-01 1.607928808e-01 7.156166672e-02 1.632023645e-02 45 
2.244866311e+00 5.744616281e+01 1.162137336e+01 6.670111962e+00 1.661584708e+00 2.035590086e+01 1.827000000e-03 4.748000000e-02 1.682000000e-02 8.725000000e-03 5.514000000e-03 2.249000000e-03 2.542000000e-03 2.286000000e-02 1.697000000e-02 9.234000000e-03 6.863000000e-03 1.335000000e-03 2.300000000e-01 4.600000000e-01 2.200000000e-01 3.000000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.300000000e-01 8.261500000e-02 5.980400000e-02 6.803243963e-01 5.366530667e-01 4.250551803e-02 3.822486790e-01 2.837602836e-01 1.544043877e-01 1.147582102e-01 2.232292154e-02 46 
4.677497797e+00 5.101174411e+01 4.899381284e+00 2.402283352e+00 1.221727238e+00 3.578736622e+01 3.807000000e-03 4.218000000e-02 2.959000000e-02 3.680000000e-03 1.987000000e-03 1.378000000e-03 3.391000000e-03 2.023000000e-02 2.317000000e-02 1.021000000e-02 4.202000000e-03 1.042000000e-03 1.400000000e-01 3.400000000e-01 1.400000000e-01 2.200000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 9.000000000e-02 8.262200000e-02 6.224500000e-02 5.550579749e-01 4.890352639e-01 5.447827135e-02 3.250060246e-01 3.722387340e-01 1.640292393e-01 6.750743032e-02 1.674030043e-02 48 
5.587949098e-01 4.765629443e+01 1.913321482e+01 7.892479304e+00 2.258821033e+00 2.250039549e+01 4.550000000e-04 3.938000000e-02 1.859000000e-02 1.436000000e-02 6.523000000e-03 3.310000000e-03 2.193000000e-03 2.014000000e-02 1.589000000e-02 1.034000000e-02 8.898000000e-03 1.785000000e-03 3.300000000e-01 5.500000000e-01 3.300000000e-01 3.800000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.500000000e-01 8.261800000e-02 5.924600000e-02 6.504635794e-01 5.144651116e-01 3.701515714e-02 3.399385613e-01 2.682037606e-01 1.745265503e-01 1.501873544e-01 3.012861628e-02 49 
1.427120808e+00 5.511389429e+01 1.926934204e+00 7.554907550e+00 1.398997656e+00 3.257814549e+01 1.161000000e-03 4.555000000e-02 2.692000000e-02 1.446000000e-03 6.244000000e-03 1.299000000e-03 1.578000000e-03 2.055000000e-02 2.224000000e-02 9.456000000e-03 6.814000000e-03 9.210000000e-04 1.300000000e-01 4.200000000e-01 1.300000000e-01 2.700000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.300000000e-01 8.262000000e-02 6.155900000e-02 5.688211087e-01 4.874348186e-01 2.563394467e-02 3.338260855e-01 3.612794230e-01 1.536087331e-01 1.106905570e-01 1.496125668e-02 51 
